"","Crop","Variety","Intended Use","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","CRP","87",NA,NA,NA,NA,NA,NA,NA,NA,15.47,NA,NA
"2","CRP","88",NA,NA,NA,NA,NA,NA,NA,NA,778.85,NA,NA
"3","CRP","CP1 EST PERM INTRO GRASS AND LEGUME",NA,NA,NA,NA,NA,3127912.8,3266829.88,3212749.221,3187288.7,NA,NA
"4","CRP","CP1 Estab of perm","CP1 Estab of perm",5799502.54,5056148.58,2479307.46,2719476.01,NA,NA,NA,NA,NA,NA
"5","CRP","CP10 VEG COVER, GRASS ALREADY EST",NA,NA,NA,NA,NA,5543937.63,4554995.27,4263506.8,4060602.371,NA,NA
"6","CRP","CP10 Vegetative Co","CP10 Vegetative Co",10835538.38,9756574.17,11569914.75,9000100.56,NA,NA,NA,NA,NA,NA
"7","CRP","CP11 VEG COVER, TREES ALREADY EST",NA,NA,NA,NA,NA,512786.91,423297.66,403621.82,373711.45,NA,NA
"8","CRP","CP11 Vegetative Co","CP11 Vegetative Co",940335.37,872989.8,909882.48,739965.72,NA,NA,NA,NA,NA,NA
"9","CRP","CP12 Wildlife Food","CP12 Wildlife Food",67411,62633.07,52387.87,52098.12,NA,NA,NA,NA,NA,NA
"10","CRP","CP12 WILDLIFE(WL) FOOD PLOT",NA,NA,NA,NA,NA,59565.91,56738.35,49833.23,44099.85,NA,NA
"11","CRP","CP13 VEG FILTER STRIPS",NA,NA,NA,NA,NA,539.84,364.69,245.24,227.52,NA,NA
"12","CRP","CP13 Vegetative Fi","CP13 Vegetative Fi",8158.46,8170.51,1254.99,1325.08,NA,NA,NA,NA,NA,NA
"13","CRP","CP13A VEG FILTER STRIPS (GRASS)",NA,NA,NA,NA,NA,331.72,515.94,212.41,178,155.52,156.12
"14","CRP","CP13A Vegetative F","CP13A Vegetative F",NA,NA,NA,348.52,NA,NA,NA,NA,NA,NA
"15","CRP","CP13B VEG FILTER STRIPS (TREES)",NA,NA,NA,NA,NA,4.56,4.47,23.42,23.42,23.42,53.54
"16","CRP","CP13B Vegetative F","CP13B Vegetative F",NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA
"17","CRP","CP13C VEG FILTR STRIP GRASS NONEASE",NA,NA,NA,NA,NA,52.43,58.3,56.8,39.6,34.23,33.88
"18","CRP","CP13C Vegetative F","CP13C Vegetative F",NA,NA,NA,55.31,NA,NA,NA,NA,NA,NA
"19","CRP","CP13D VEG FILT STRIPS TREES NONEASE",NA,NA,NA,NA,NA,78.9,75.49,15.43,12.2,8.6,8.6
"20","CRP","CP13D Vegetative F","CP13D Vegetative F",NA,NA,NA,92.8,NA,NA,NA,NA,NA,NA
"21","CRP","CP14 Bottomland Ti","CP14 Bottomland Ti",28002.11,29162.8,785.32,626.14,NA,NA,NA,NA,NA,NA
"22","CRP","CP14 BOTTOMLAND TIMBR EST ON WETLDS",NA,NA,NA,NA,NA,599.57,216.67,215.83,205.63,NA,NA
"23","CRP","CP15 EST PERM VEG CVR CONTOUR STRPS",NA,NA,NA,NA,NA,1805.09,1333.29,1198.74,1094.93,NA,NA
"24","CRP","CP15 Establish of","CP15 Establish of",43273.69,32633.12,3108.91,2499.79,NA,NA,NA,NA,NA,NA
"25","CRP","CP15A EST CONTR GRASS STRPS NONEASE",NA,NA,NA,NA,NA,60882.08,58850.64,59324.05,59242.34,57413.72,56251.12
"26","CRP","CP15A Estab Perm V","CP15A Estab Perm V",NA,NA,NA,59164.28,NA,NA,NA,NA,NA,NA
"27","CRP","CP15B EST CONTR GRAS STRP ON TERRAC",NA,NA,NA,NA,NA,3664.14,3247.17,2997.49,2926.11,2853.67,2839.11
