"","Crop Code","Crop Name","Crop Type Name","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","0001","TOBACCO, BURLEY","NULL",NA,NA,NA,97248.64,NA,NA,NA,NA,NA,60564.8949
"2","0001","TOBACCO, BURLEY",NA,101746.18,94561.98,86791.21,NA,95616.59,98312.01,75787.2422,77346.145,77743.9116,NA
"3","0002","TOBACCO, FLUE CURED","-12",NA,NA,NA,NA,NA,NA,NA,NA,106492.97,103694.67
"4","0002","TOBACCO, FLUE CURED","-13",NA,NA,NA,NA,NA,NA,NA,NA,19142.337,21434.805
"5","0002","TOBACCO, FLUE CURED","-14",NA,NA,NA,NA,NA,NA,NA,NA,21948.06,21826.64
"6","0002","TOBACCO, FLUE CURED","(11A)",NA,NA,NA,NA,NA,NA,NA,NA,73586.096,70051.658
"7","0002","TOBACCO, FLUE CURED","(11B)",NA,NA,NA,NA,NA,NA,NA,NA,31742.152,31393.48
"8","0002","TOBACCO, FLUE CURED","FLUE CURED (012)",110916.54,105217.31,110775.01,106879.18,119586.61,130175.24,113952.37,117272.1,NA,NA
"9","0002","TOBACCO, FLUE CURED","FLUE CURED (013)",33201.68,28019.7,23207.76,20075.4,21761.26,23942.32,21195.03,20593.27,NA,NA
"10","0002","TOBACCO, FLUE CURED","FLUE CURED (014)",17300.87,12673.25,20080.49,17276.67,22972.32,25584.87,23348.34,22326.7,NA,NA
"11","0002","TOBACCO, FLUE CURED","FLUE CURED (11A)",39838.38,40719.93,72553.96,74497.85,75595.07,79520.97,74045.19,75282.192,NA,NA
"12","0002","TOBACCO, FLUE CURED","FLUE CURED (11B)",24609.97,23970.13,30950.61,30339.93,36200.95,38973.67,34494.07,32784.65,NA,NA
"13","0003","TOBACCO, VIRGINIA FIRE CURED","NULL",NA,NA,NA,540.99,NA,NA,NA,NA,NA,NA
"14","0003","TOBACCO, VIRGINIA FIRE CURED",NA,670.68,665.39,592.69,NA,487.24,413.91,305.11,345.01,339.352,318.81
"15","0004","TOBACCO, FIRE CURED","-22",NA,NA,NA,NA,NA,NA,NA,NA,15814.51,13873.23
"16","0004","TOBACCO, FIRE CURED","-23",NA,NA,NA,NA,NA,NA,NA,NA,2952.18,4947.7
"17","0004","TOBACCO, FIRE CURED","FIRE CURED (022)",10554.48,10431.15,13506.58,13007.27,13089.21,15156.57,14822.66,13796.43,NA,NA
"18","0004","TOBACCO, FIRE CURED","FIRE CURED (023)",4482.45,4287.22,2232.84,2433.16,2569.56,2963.28,3922.31,2699.98,NA,NA
"19","0005","TOBACCO, DARK AIR CURED","-35",NA,NA,NA,NA,NA,NA,NA,NA,5927.92,8361.81
"20","0005","TOBACCO, DARK AIR CURED","-36",NA,NA,NA,NA,NA,NA,NA,NA,1462.71,1594.5
"21","0005","TOBACCO, DARK AIR CURED","DARK AIR CURED (035)",4526.56,4231.48,4444.06,4023.18,4012.53,4734.63,4821.77,4771.19,NA,NA
