"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"311",0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"380",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"381",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"421",0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"427",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ABIU",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"ACEROLA",0,0,0,1,1,1,1,1,2,0,0,1,0,0,0
"ACHACHAIRU",0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"ALFALFA",3003,2914,4322,4080,4183,4193,4214,4285,4195,4135,4206,3986,3870,3832,3807
"ALGAE",1,2,4,2,2,2,2,2,0,1,0,0,0,0,0
"ALMONDS",21,21,48,45,47,54,56,53,57,59,54,58,60,55,57
"ALOE VERA",3,3,6,8,6,8,4,6,4,4,2,6,2,0,2
"AMARANTH GRAIN",1,5,5,7,2,7,5,1,4,2,1,3,7,5,4
"AMBROSIA",1,1,0,0,0,1,1,0,0,0,0,0,1,0,0
"ANTIDESMA",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"APPLES",932,889,1197,1173,1181,1209,1286,1298,1335,1334,1300,1314,1294,1293,1318
"APRICOTS",111,105,157,161,160,159,167,168,168,176,162,177,155,153,148
"ARONIA (CHOKEBERRY)",13,18,39,74,82,100,146,185,197,204,205,191,175,165,160
"ARTICHOKES",26,27,51,40,30,26,30,41,23,32,28,29,36,31,32
"ARUNDO DONAX",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ASPARAGUS",426,438,586,592,546,547,566,576,569,551,529,536,527,503,508
"ATEMOYA",4,2,8,5,4,3,6,6,4,5,4,3,1,3,8
"AVOCADOS",22,19,35,32,28,23,32,34,37,50,43,41,37,40,42
"BAMBOO SHOOTS",3,3,8,6,2,2,2,1,3,7,3,2,2,6,3
"BANANAS",26,22,38,35,37,27,30,30,28,42,46,34,25,33,36
"BARLEY",2183,2181,3067,2979,3269,3181,3095,2954,2860,2765,2775,2879,2719,2671,2650
"BEANS",2768,2776,4008,3916,3660,3700,3899,3684,3763,3634,3675,3737,3417,3181,3149
"BEETS",332,362,537,563,486,435,475,536,473,443,414,435,435,419,416
"BIRDSFOOT/TREFOIL",58,61,72,65,74,74,77,82,78,76,78,68,67,68,62
"BLUEBERRIES",601,616,916,918,969,956,1031,1025,1080,1069,1076,1091,1042,1042,1034
"BREADFRUIT",4,2,4,5,4,5,7,4,3,8,7,9,8,13,11
"BROCCOFLOWER",10,9,8,6,3,7,9,5,9,7,7,5,5,4,15
"BROCCOLI",361,360,531,532,468,460,491,505,509,504,430,489,449,440,440
"BROCCOLINI",0,0,0,0,0,0,0,0,0,0,1,5,10,12,16
"BROCCOLO-CAVALO",1,1,4,1,1,1,0,0,0,0,0,0,1,0,0
"BRUSSEL SPROUTS",89,94,140,132,134,141,147,158,157,146,135,136,159,140,138
