"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"-12",0,0,0,0,0,0,0,0,55,51
"-13",0,0,0,0,0,0,0,0,26,28
"-14",0,0,0,0,0,0,0,0,55,54
"-22",0,0,0,0,0,0,0,0,22,21
"-23",0,0,0,0,0,0,0,0,6,8
"-35",0,0,0,0,0,0,0,0,30,35
"-36",0,0,0,0,0,0,0,0,13,13
"-41",0,0,0,0,0,0,0,0,1,4
"-51",0,0,0,0,0,0,0,0,7,9
"-52",0,0,0,0,0,0,0,0,2,2
"-54",0,0,0,0,0,0,0,0,1,3
"-55",0,0,0,0,0,0,0,0,4,3
"(11A)",0,0,0,0,0,0,0,0,66,65
"(11B)",0,0,0,0,0,0,0,0,21,24
"2 OR MORE INTERSEEDED COARSE G",62,41,276,255,235,227,246,267,0,0
"2 OR MORE INTERSEEDED GRASS MI",2630,2772,4409,4250,4329,4488,4766,5075,0,0
"2 OR MORE INTERSEEDED SMALL GR",603,591,954,919,953,963,1023,1041,0,0
"2 OR MORE LEGUMES INTERSEEDED",184,187,370,334,273,237,294,302,0,0
"2+ INTERSEEDED COURSE GRAINS",0,0,0,0,0,0,0,0,252,241
"2+ INTERSEEDED GRASS MIX",0,0,0,0,0,0,0,0,5262,5467
"2+ INTERSEEDED SMALL GR",0,0,0,0,0,0,0,0,1064,1001
"2+ LEGUMES INTERSEEDED",0,0,0,0,0,0,0,0,361,369
"87",0,0,0,0,0,0,0,1,0,0
"88",0,0,0,0,0,0,0,6,0,0
"ABACAXI/SUGAR LOAF",3,3,6,6,9,9,7,9,5,5
"ABALONE",1,1,2,2,2,0,0,2,2,2
"ABR",0,0,0,0,8,21,28,33,0,0
"ABZ",0,0,0,0,0,1,5,5,0,0
"ACHILLEA",5,6,5,3,7,7,5,9,5,3
"ACORN SQUASH",218,211,328,329,291,275,296,307,291,254
"ACRONLINIUM",1,1,1,0,1,1,1,0,0,2
"ADALMIINA",1,1,4,8,9,7,7,8,12,11
"ADRIATIC",8,7,8,6,8,5,3,1,1,2
"ADZUKI",15,17,21,17,15,23,26,18,19,24
"AESCHYNOMENE",2,0,2,1,1,0,0,1,2,0
"AFGHAN PINE",1,2,2,4,7,1,3,3,3,6
"AFR",0,0,0,0,0,0,0,13,0,0
"AFRICAN",0,0,0,0,0,0,0,0,13,26
"AGAPANTHUS",1,0,0,0,0,0,0,0,0,0
"AGERATUM",2,3,2,0,2,2,7,5,9,1
"AGLIANICA",3,4,11,12,14,9,9,9,8,12
"ALBARINO",0,0,0,0,0,0,0,0,39,46
"Alborz",0,0,0,0,0,0,0,0,2,0
"ALFALFA GRASS MIXTURE",1998,2044,2904,2807,2859,2893,2943,2995,3018,2975
"ALFALFA SMALL GRAIN INTERSEEDE",372,363,580,591,580,590,567,601,0,0
"ALFALFA/SML GRN INTERSEEDED",0,0,0,0,0,0,0,0,594,607
"ALICANTE-BOUSCHET",17,15,0,21,17,22,14,16,16,14
"ALICANTEBOUSCHET",0,0,20,0,0,0,0,0,0,0
"ALKALAI",6,8,16,12,14,19,20,19,10,10
"ALLIUM",2,2,1,1,2,0,2,0,3,1
"ALMERIA",1,1,3,4,2,1,1,4,2,2
"ALPENGLOW",0,0,0,0,0,0,0,0,1,1
"ALSIKE CLOVER",27,16,42,29,35,30,42,38,41,34
"ALSTROEMERIA",3,2,4,3,1,0,0,0,0,0
"ALTAI WILD RYE",6,11,7,9,6,4,5,8,5,6
"ALUM",52,47,62,49,63,63,49,38,29,30
"ALYCE CLOVER",13,11,5,3,2,2,3,1,3,5
"AMA",0,0,0,0,0,0,9,27,0,0
"AMARANTH",8,7,10,7,7,5,9,11,7,11
"AMARYLLIS",2,1,1,3,3,0,3,3,1,1
"AMERICAN MAMEGRASS",0,0,2,1,1,0,0,0,2,2
"AMERICAN SLOUGHGRASS",0,0,5,1,2,0,1,2,0,2
"AMERICAN VETCH",2,1,3,6,3,3,3,7,8,11
"AMMOBIUM",2,2,1,0,1,1,1,1,3,0
"AMYLOSE",10,10,20,37,33,19,20,52,46,55
"ANAHEIM",43,34,69,71,76,62,75,70,67,58
"ANASAZI",6,6,7,2,8,4,6,2,1,10
"ANEMONE",1,1,3,0,1,0,0,2,1,2
"ANISE HYSSOP",2,5,8,5,2,3,3,4,1,0
"ANJOU PEARS",30,30,51,40,43,45,49,54,51,41
"ANNUAL RYEGRASS",702,644,618,635,625,611,668,647,628,626
"ANTHURIUM",2,2,4,4,2,2,2,2,2,2
"ANTHURIUM PASTEL",0,0,0,0,1,0,0,0,0,0
"ANTHURIUM RED",0,0,2,2,2,2,0,2,0,0
"APACHE",5,9,20,24,26,27,35,45,56,44
"ARABICA",10,9,13,14,15,10,11,11,12,10
"ARAPAHO",8,10,20,19,18,18,18,19,22,19
"ARCTARED FESCUE",60,50,13,10,5,1,3,4,2,2
"ARGENTINE BAHIA",97,93,132,123,123,126,129,124,140,136
"ARIZONA",1,1,6,6,8,11,8,5,3,5
"ARIZONA CYPRESS",1,0,2,4,5,4,3,8,6,6
"ARROWHEAD CLOVER",19,16,10,11,10,8,5,8,10,5
"ARROWLEAF",5,4,12,8,13,12,13,17,13,11
"ARTEMESIA",5,5,1,1,1,5,4,4,6,3
"ARUGULA",46,49,88,96,88,61,88,95,80,81
"ASIAN",4,13,24,32,22,15,19,19,21,24
"ASIAN PEARS",63,67,92,98,113,106,118,113,119,114
"ASPEN DAISY",1,0,0,0,0,0,0,0,2,3
"ASTER",16,18,20,20,16,10,13,23,20,15
"AUK",0,0,0,4,6,8,8,8,0,0
"AURORA",6,5,7,6,5,6,6,7,5,7
"AUSTRIAN",177,157,160,164,130,150,176,175,172,139
"AUSTRIAN PINE",16,16,24,23,21,17,18,22,22,21
"AUTUMN KING",0,0,0,0,0,0,0,0,8,6
"AUTUMN ROYAL",7,4,8,12,14,11,9,9,8,8
"BABACO",0,0,0,0,0,0,0,2,0,0
"BABY",11,10,16,16,16,11,11,9,9,14
"BABY'S BREATH",6,3,3,2,2,0,2,2,0,0
"BABY LIMA",87,66,108,116,109,112,108,120,96,83
"BABYS BREATH",0,0,0,0,0,0,0,0,4,5
"BACHELOR BUTTONS",4,2,5,4,4,3,1,2,4,8
"BACO NOIR",9,9,13,15,14,16,21,23,24,24
"BAHALIA",157,141,104,84,78,80,83,86,55,42
"BAHIA",746,751,1116,1063,1035,1036,1103,1148,1156,1152
"BALL CLOVER",1,0,1,2,1,2,5,3,3,7
"BALSAM FIR",56,60,59,64,61,73,85,91,92,92
"BANANA",133,146,183,202,202,188,175,172,186,167
"BANKSIA",0,0,0,2,0,0,0,0,0,0
"BARBED WIRE",0,0,2,6,3,3,1,2,2,1
"BARBERAS",19,19,44,44,42,53,53,46,41,48
"BARON GOTO",0,0,1,1,1,3,1,1,1,1
"BASIL",94,106,126,140,115,96,117,124,115,117
"BASIN WILD RYE",6,7,23,21,23,25,28,23,21,23
"BAY LEAF",1,1,6,5,3,3,3,4,5,4
"BAY SCALLOPS",1,1,1,1,1,1,2,2,3,5
"BCZ",0,0,0,2,0,2,0,0,0,0
"BEARDED FESCUE",0,0,4,1,1,0,1,3,3,2
"BEARDLESS WILDRYE",6,4,6,5,5,5,7,4,6,2
"BEAUREGARD",164,172,268,254,219,204,244,264,240,231
"BEAUTY SEEDLESS",1,0,0,3,3,1,3,3,3,3
"BEIGE",0,3,1,1,0,0,0,1,2,2
"BELLADONNA",0,0,0,1,0,0,0,0,0,0
"BELLEVUE",0,0,0,0,0,0,0,0,17,7
"BELLS OF IRELAND",1,1,1,0,1,1,4,3,6,2
"BENTGRASS  VELVET",0,0,0,0,0,0,0,0,5,10
"BERSEEM CLOVER",10,14,18,17,9,13,14,14,10,15
"BETA",2,2,1,3,3,1,2,2,1,1
"BGV",0,0,0,0,0,0,3,6,0,0
"BIANCA",0,0,0,0,0,0,0,0,2,0
"BIBB",25,22,31,32,14,18,16,27,17,17
"BIG BLUE",91,69,103,80,89,83,88,87,94,95
"BIG BLUESTEM",245,226,478,432,398,412,411,411,409,435
"BIGHEAD CARP",2,1,2,2,2,2,2,4,4,6
"BIRD OF PARADISE",2,2,1,3,2,2,3,4,4,2
"BITTERMELON SQUASH",8,10,12,14,9,11,14,13,8,10
"BLACK",53,59,74,76,80,72,80,89,94,103
"BLACK EYE",179,137,181,223,185,178,173,168,169,132
"BLACK EYED SUSANS",9,9,15,16,12,7,9,10,10,10
"BLACK MISSION",12,12,23,15,22,19,22,20,21,22
"BLACK RASPBERRIES",182,189,226,202,213,205,233,216,215,208
"BLACK SAPOTE",2,1,2,2,4,2,2,2,2,2
"BLACK SEEDLESS",3,3,8,6,3,5,8,9,10,8
"BLACK SPANISH/LENOIR",1,0,3,6,7,13,10,8,11,11
"BLACK TILAPIA",6,5,10,8,11,14,9,2,10,6
"BLACK TURTLE",169,194,234,223,211,252,285,257,282,272
"BLANC DUBOIS",3,1,4,7,8,14,12,8,8,9
"BLANC SEEDLESS",1,0,2,4,3,0,5,3,4,3
"BLOOD AND TOERH",2,2,4,2,2,8,10,6,9,16
"BLUE",51,53,34,57,74,83,79,103,90,103
"BLUE BUNCH WHEAT",28,34,35,33,32,30,29,26,25,24
"BLUE EYED GRASS",0,0,3,1,0,2,1,3,2,1
"BLUE GRAMA",69,72,126,99,98,85,87,84,86,85
"BLUE PANIC",8,5,15,11,14,8,9,7,7,8
"BLUE SPRUCE",81,82,110,119,123,126,130,140,130,121
"BLUE TILAPIA",0,0,2,3,0,2,0,2,2,0
"BLUE WILD RYE",11,10,17,16,15,11,9,11,9,11
"BLUEBELL",12,9,16,15,13,15,19,17,13,12
"BLUEFIELD",0,1,0,0,1,1,0,0,0,3
"BLUEGILL",8,6,15,18,25,28,21,24,24,19
"BLUEGRASS- ALPINE",0,0,0,144,107,117,113,124,0,0
"BLUEGRASS  ALPINE",0,0,0,0,0,0,0,0,120,130
"BLUEGRASS ALPINE",0,0,182,0,0,0,0,0,0,0
