"","Intended Use","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"1","1",5799502.54,5056148.58,2479307.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","10",10835538.38,9756574.17,11569914.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","11",940335.37,872989.8,909882.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","12",67411,62633.07,52387.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","13",8158.46,8170.51,1254.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","14",28002.11,29162.8,785.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","15",43273.69,32633.12,3108.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","16",12247.06,12372.12,2238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","17",3058.01,3284.68,1315.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","18",131152.38,131231.64,7553.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","19",1363.5,1542.31,30.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2",7303572.94,6870949.27,5944773.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","20",1354.72,1381.71,751.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","21",1008621.64,997995.16,1027315.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","22",802499.51,820556.7,879299.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","23",1322673.85,1295309.46,1424543.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","24",2083.44,1551.98,1352.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","25",1117504.23,1084437.14,1469805.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","26",NA,NA,600.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","27",48615.89,51492.59,64555.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","28",135052.53,162591.24,196162.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","3",679761.82,641895.43,354433.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","30",410180.18,412283.53,605410.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","31",23032.75,30768.72,1566.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","32",5341.77,5378.24,374.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","33",88939.84,107750.44,1064.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","34",362.98,345.45,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","35",46231.63,35764.03,3343.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","36",323.36,286.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","37",76003.2,83609.07,95062.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","38",145844.02,185924.14,136828.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","39",550.29,383.27,95.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","4",658273.67,583985.03,134395.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","40",11899.13,14862.79,92.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","41",27247.83,35555.36,59937.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","42",28529.9,26066.64,36659.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","43",4024.01,4132.04,4855.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","44",13721.93,13763.96,107854.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","45",92472.83,86776.55,121289.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","46",1283747.5,1177681.64,2129654.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","47",4094.38,3712.55,4506.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","48",104465.94,108254.26,114575.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","49",18804.67,20767.01,45274.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
